"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"24.04.2020","7,350","7,294","7,550","7,281","5,54M","-2,07%"
"23.04.2020","7,505","7,300","7,513","7,246","5,85M","3,52%"
"22.04.2020","7,250","7,159","7,300","7,110","5,79M","2,14%"
"21.04.2020","7,098","7,318","7,360","7,098","6,45M","-4,47%"
"20.04.2020","7,430","7,370","7,540","7,287","6,56M","1,48%"
"17.04.2020","7,322","7,320","7,549","7,250","8,29M","3,00%"
"16.04.2020","7,109","7,180","7,299","7,059","7,86M","0,40%"
"15.04.2020","7,081","7,482","7,600","7,068","9,63M","-5,08%"
"14.04.2020","7,460","7,755","7,784","7,460","12,85M","-0,25%"
"09.04.2020","7,479","7,294","7,630","7,290","15,12M","5,06%"
"08.04.2020","7,119","7,000","7,143","6,942","7,71M","1,06%"
"07.04.2020","7,044","6,850","7,266","6,800","17,39M","6,47%"
"06.04.2020","6,616","6,379","6,616","6,285","11,73M","6,71%"
"03.04.2020","6,200","6,225","6,429","6,154","6,68M","-1,35%"
"02.04.2020","6,285","6,350","6,436","6,111","10,28M","-0,60%"
"01.04.2020","6,323","6,380","6,445","6,288","9,55M","-3,79%"
"31.03.2020","6,572","6,402","6,660","6,300","12,96M","4,15%"
"30.03.2020","6,310","6,425","6,470","6,110","10,92M","-2,59%"
"27.03.2020","6,478","6,870","6,900","6,478","11,43M","-5,99%"
"26.03.2020","6,891","6,602","6,897","6,550","12,89M","0,83%"
"25.03.2020","6,834","6,720","7,580","6,300","27,52M","2,92%"
"24.03.2020","6,640","6,130","6,640","6,000","19,43M","12,87%"
"23.03.2020","5,883","5,880","6,086","5,740","17,02M","-4,25%"
"20.03.2020","6,144","5,950","6,394","5,806","29,78M","5,82%"
"19.03.2020","5,806","6,210","6,270","5,510","25,97M","-5,13%"
"18.03.2020","6,120","6,660","6,699","6,000","18,05M","-10,85%"
"17.03.2020","6,865","7,512","7,690","6,487","27,14M","-4,24%"
"16.03.2020","7,169","8,090","8,098","6,750","27,69M","-14,46%"
"13.03.2020","8,381","8,250","8,971","8,038","24,41M","7,16%"
"12.03.2020","7,821","9,020","9,156","7,720","32,18M","-17,86%"
"11.03.2020","9,522","9,530","9,661","9,374","14,35M","2,08%"
"10.03.2020","9,328","9,472","9,807","9,254","21,25M","-0,58%"
"09.03.2020","9,382","9,100","9,690","8,730","28,70M","-10,80%"
"06.03.2020","10,518","10,500","10,664","10,310","17,05M","-2,99%"
"05.03.2020","10,842","11,046","11,046","10,760","10,93M","-1,36%"
"04.03.2020","10,992","10,930","11,096","10,830","11,23M","0,48%"
"03.03.2020","10,940","11,060","11,246","10,896","13,77M","1,03%"
"02.03.2020","10,828","11,380","11,380","10,558","21,21M","-3,68%"
"28.02.2020","11,242","11,200","11,414","11,070","22,16M","-2,77%"
"27.02.2020","11,562","11,450","11,726","11,398","17,58M","-1,82%"
"26.02.2020","11,776","11,200","11,980","11,160","23,07M","4,60%"
"25.02.2020","11,258","11,448","11,448","11,154","15,40M","-0,72%"
"24.02.2020","11,340","11,590","11,684","11,228","24,55M","-6,13%"
"21.02.2020","12,080","12,220","12,274","12,018","10,73M","-1,60%"
"20.02.2020","12,276","12,270","12,384","12,200","8,46M","0,07%"
"19.02.2020","12,268","12,248","12,320","12,186","5,93M","0,51%"
"18.02.2020","12,206","12,250","12,288","12,136","6,94M","-0,93%"
"17.02.2020","12,320","12,342","12,476","12,300","6,34M","0,47%"
"14.02.2020","12,262","12,480","12,520","12,234","7,45M","-1,37%"
"13.02.2020","12,432","12,464","12,502","12,294","7,36M","-1,21%"
"12.02.2020","12,584","12,218","12,630","12,190","12,69M","3,73%"
"11.02.2020","12,132","12,060","12,302","12,048","10,41M","1,23%"
"10.02.2020","11,984","12,086","12,198","11,966","9,52M","-1,83%"
"07.02.2020","12,208","12,420","12,420","12,074","10,92M","-1,63%"
"06.02.2020","12,410","12,380","12,756","12,356","16,53M","0,81%"
