"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"24.04.2020","1,3438","1,3600","1,3858","1,3416","118,16M","-2,93%"
"23.04.2020","1,3844","1,3520","1,4046","1,3400","133,35M","3,45%"
"22.04.2020","1,3382","1,3378","1,3508","1,3244","110,63M","1,38%"
"21.04.2020","1,3200","1,3590","1,3662","1,3172","150,44M","-4,56%"
"20.04.2020","1,3830","1,3824","1,3884","1,3440","110,03M","0,49%"
"17.04.2020","1,3762","1,4066","1,4128","1,3648","158,36M","1,18%"
"16.04.2020","1,3602","1,3656","1,4068","1,3468","142,55M","0,88%"
"15.04.2020","1,3484","1,3950","1,4170","1,3484","175,87M","-4,11%"
"14.04.2020","1,4062","1,4550","1,4560","1,3972","131,46M","-2,69%"
"09.04.2020","1,4450","1,4730","1,4846","1,4208","208,14M","-0,29%"
"08.04.2020","1,4492","1,4420","1,4550","1,4186","182,96M","-1,35%"
"07.04.2020","1,4690","1,5100","1,5464","1,4428","242,66M","0,74%"
"06.04.2020","1,4582","1,4100","1,4582","1,3932","202,33M","9,71%"
"03.04.2020","1,3292","1,4240","1,4314","1,3292","262,96M","-7,55%"
"02.04.2020","1,4378","1,4330","1,4444","1,3850","199,64M","0,21%"
"01.04.2020","1,4348","1,4350","1,4626","1,4260","143,55M","-3,60%"
"31.03.2020","1,4884","1,4946","1,5150","1,4210","218,40M","1,20%"
"30.03.2020","1,4708","1,5260","1,5434","1,4430","215,07M","-6,12%"
"27.03.2020","1,5666","1,5912","1,6240","1,5444","179,04M","-3,95%"
"26.03.2020","1,6310","1,5918","1,6372","1,5640","178,23M","0,92%"
"25.03.2020","1,6162","1,6278","1,7050","1,5530","278,46M","2,06%"
"24.03.2020","1,5836","1,5122","1,5836","1,5014","264,31M","9,30%"
"23.03.2020","1,4488","1,3954","1,4800","1,3860","227,29M","-1,13%"
"20.03.2020","1,4654","1,4500","1,5060","1,4500","376,66M","2,82%"
"19.03.2020","1,4252","1,4626","1,4760","1,3952","316,68M","1,18%"
"18.03.2020","1,4086","1,3900","1,4400","1,3504","254,41M","-2,95%"
"17.03.2020","1,4514","1,4442","1,4844","1,3522","301,01M","3,46%"
"16.03.2020","1,4028","1,4800","1,4800","1,3062","370,81M","-9,75%"
"13.03.2020","1,5544","1,5702","1,7350","1,4900","377,23M","6,26%"
"12.03.2020","1,4628","1,6800","1,7400","1,4564","456,57M","-17,78%"
"11.03.2020","1,7792","1,7302","1,8050","1,7164","247,75M","4,12%"
"10.03.2020","1,7088","1,7800","1,8630","1,6866","364,93M","-2,35%"
"09.03.2020","1,7500","1,7600","1,8378","1,7166","395,70M","-11,49%"
"06.03.2020","1,9772","1,9980","2,0095","1,9614","278,42M","-3,39%"
"05.03.2020","2,0465","2,1435","2,1435","2,0390","241,98M","-3,81%"
"04.03.2020","2,1275","2,1250","2,1830","2,0870","200,31M","0,40%"
"03.03.2020","2,1190","2,1835","2,2120","2,1065","233,65M","-0,82%"
"02.03.2020","2,1365","2,2390","2,2390","2,0760","304,86M","-2,82%"
"28.02.2020","2,1985","2,2215","2,2490","2,1615","345,69M","-3,93%"
"27.02.2020","2,2885","2,3410","2,3450","2,2565","258,54M","-3,88%"
"26.02.2020","2,3810","2,3240","2,4045","2,2960","214,43M","2,19%"
"25.02.2020","2,3300","2,3930","2,3985","2,3290","194,46M","-1,96%"
"24.02.2020","2,3765","2,3955","2,4235","2,3520","299,63M","-5,75%"
"21.02.2020","2,5215","2,5395","2,5575","2,5050","153,19M","-1,12%"
"20.02.2020","2,5500","2,6050","2,6150","2,5500","120,10M","-2,05%"
"19.02.2020","2,6035","2,6200","2,6240","2,6000","129,30M","0,13%"
"18.02.2020","2,6000","2,5500","2,6325","2,5345","281,89M","2,36%"
"17.02.2020","2,5400","2,5115","2,5400","2,5115","77,85M","1,30%"
"14.02.2020","2,5075","2,5110","2,5120","2,4930","86,11M","-0,10%"
"13.02.2020","2,5100","2,5000","2,5100","2,4700","103,49M","0,10%"
"12.02.2020","2,5075","2,4820","2,5295","2,4820","121,75M","1,01%"
"11.02.2020","2,4825","2,4740","2,4965","2,4615","103,71M","0,96%"
"10.02.2020","2,4590","2,4665","2,4860","2,4570","73,08M","-0,69%"
"07.02.2020","2,4760","2,4650","2,4775","2,4510","87,24M","0,18%"
"06.02.2020","2,4715","2,4765","2,5145","2,4690","179,80M","0,90%"
"05.02.2020","2,4495","2,3600","2,4495","2,3570","242,46M","4,17%"
"04.02.2020","2,3515","2,3190","2,3770","2,3050","184,52M","2,91%"
"03.02.2020","2,2850","2,2505","2,2895","2,2465","92,50M","1,76%"
"31.01.2020","2,2455","2,3000","2,3025","2,2385","132,73M","-2,01%"
"30.01.2020","2,2915","2,2960","2,3020","2,2620","109,06M","-1,23%"
"29.01.2020","2,3200","2,3030","2,3245","2,2955","69,01M","0,63%"
"28.01.2020","2,3055","2,2650","2,3140","2,2395","112,86M","2,24%"
"27.01.2020","2,2550","2,2695","2,3180","2,2525","147,35M","-1,01%"
"24.01.2020","2,2780","2,2790","2,3020","2,2710","70,45M","0,44%"
"23.01.2020","2,2680","2,2710","2,2975","2,2550","77,27M","-0,53%"
"22.01.2020","2,2800","2,2990","2,3060","2,2630","102,42M","-1,04%"
"21.01.2020","2,3040","2,3080","2,3100","2,2885","80,84M","-0,63%"
"20.01.2020","2,3185","2,3285","2,3340","2,3130","49,61M","-0,77%"
"17.01.2020","2,3365","2,3310","2,3490","2,3235","66,93M","0,60%"
"16.01.2020","2,3225","2,3250","2,3340","2,2980","90,77M","0,11%"
"15.01.2020","2,3200","2,3450","2,3450","2,3100","96,74M","-1,15%"
"14.01.2020","2,3470","2,3400","2,3485","2,3110","90,24M","0,26%"
"13.01.2020","2,3410","2,3635","2,3670","2,3340","71,25M","-0,68%"
"10.01.2020","2,3570","2,3760","2,3785","2,3555","65,53M","-0,72%"
"09.01.2020","2,3740","2,3650","2,3795","2,3575","90,03M","1,54%"
"08.01.2020","2,3380","2,3225","2,3600","2,3155","97,96M","-0,30%"
"07.01.2020","2,3450","2,3500","2,3585","2,3340","62,64M","0,21%"
"06.01.2020","2,3400","2,3265","2,3430","2,2860","86,46M","-0,40%"
"03.01.2020","2,3495","2,3720","2,3730","2,3370","86,84M","-1,32%"
"02.01.2020","2,3810","2,3675","2,3840","2,3590","71,76M","1,38%"
"30.12.2019","2,3485","2,3550","2,3665","2,3485","45,56M","-0,28%"
"27.12.2019","2,3550","2,3905","2,3995","2,3550","85,91M","-1,90%"
"23.12.2019","2,4005","2,3930","2,4025","2,3805","59,13M","-0,19%"
"20.12.2019","2,4050","2,4000","2,4050","2,3745","220,63M","1,05%"
"19.12.2019","2,3800","2,3610","2,3800","2,3580","87,44M","0,59%"
"18.12.2019","2,3660","2,3640","2,3745","2,3565","70,19M","0,13%"
"17.12.2019","2,3630","2,3415","2,3640","2,3400","84,82M","0,70%"
"16.12.2019","2,3465","2,3435","2,3525","2,3330","65,64M","0,79%"
"13.12.2019","2,3280","2,3835","2,3900","2,3175","147,98M","-1,04%"
"12.12.2019","2,3525","2,3170","2,3635","2,3145","112,53M","1,80%"
"11.12.2019","2,3110","2,2970","2,3165","2,2950","55,08M","0,30%"
"10.12.2019","2,3040","2,2940","2,3075","2,2755","68,66M","0,30%"
"09.12.2019","2,2970","2,3200","2,3210","2,2760","75,05M","-0,71%"
"06.12.2019","2,3135","2,2995","2,3200","2,2810","81,21M","1,11%"
"05.12.2019","2,2880","2,2940","2,3115","2,2815","60,91M","-0,13%"
