"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"24.04.2020","0,3373","0,3401","0,3460","0,3373","61,99M","-2,71%"
"23.04.2020","0,3467","0,3390","0,3490","0,3374","75,39M","3,37%"
"22.04.2020","0,3354","0,3416","0,3426","0,3331","60,94M","-0,45%"
"21.04.2020","0,3369","0,3431","0,3471","0,3363","58,68M","-3,47%"
"20.04.2020","0,3490","0,3464","0,3534","0,3416","74,04M","1,16%"
"17.04.2020","0,3450","0,3560","0,3580","0,3434","89,81M","-1,15%"
"16.04.2020","0,3490","0,3570","0,3624","0,3482","90,81M","-1,25%"
"15.04.2020","0,3534","0,3665","0,3746","0,3500","100,81M","-4,10%"
"14.04.2020","0,3685","0,3770","0,3804","0,3657","98,29M","-0,59%"
"09.04.2020","0,3707","0,3800","0,3854","0,3682","106,54M","-2,32%"
"08.04.2020","0,3795","0,3800","0,3900","0,3777","91,33M","-1,94%"
"07.04.2020","0,3870","0,4000","0,4043","0,3806","116,41M","-1,38%"
"06.04.2020","0,3924","0,3900","0,3924","0,3830","81,26M","3,21%"
"03.04.2020","0,3802","0,3785","0,3835","0,3760","66,33M","0,24%"
"02.04.2020","0,3793","0,3760","0,3793","0,3659","91,13M","2,04%"
"01.04.2020","0,3717","0,3636","0,3779","0,3625","96,59M","-0,19%"
"31.03.2020","0,3724","0,3650","0,3730","0,3610","137,21M","3,42%"
"30.03.2020","0,3601","0,3658","0,3720","0,3491","87,13M","-0,80%"
"27.03.2020","0,3630","0,3637","0,3748","0,3610","119,70M","-1,25%"
"26.03.2020","0,3676","0,3782","0,3833","0,3622","236,23M","-4,96%"
"25.03.2020","0,3868","0,4048","0,4080","0,3765","164,34M","-2,32%"
"24.03.2020","0,3960","0,4000","0,4233","0,3874","168,02M","2,99%"
"23.03.2020","0,3845","0,3735","0,3891","0,3640","151,03M","2,67%"
"20.03.2020","0,3745","0,3820","0,3933","0,3633","171,85M","-0,77%"
"19.03.2020","0,3774","0,3679","0,3981","0,3658","205,83M","5,01%"
"18.03.2020","0,3594","0,3204","0,3610","0,3113","177,96M","9,94%"
"17.03.2020","0,3269","0,3124","0,3300","0,3017","186,51M","11,27%"
"16.03.2020","0,2938","0,3203","0,3250","0,2861","226,61M","-12,30%"
"13.03.2020","0,3350","0,3250","0,3584","0,3137","217,56M","7,65%"
"12.03.2020","0,3112","0,3679","0,3746","0,3046","303,16M","-18,47%"
"11.03.2020","0,3817","0,3847","0,3923","0,3692","204,31M","3,95%"
