"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"24.04.2020","6,6880","6,7030","6,8600","6,6300","17,63M","-3,07%"
"23.04.2020","6,9000","6,7620","7,0700","6,6880","18,15M","2,71%"
"22.04.2020","6,7180","6,7090","6,7500","6,5330","13,36M","1,94%"
"21.04.2020","6,5900","6,7800","6,8460","6,5900","15,29M","-4,45%"
"20.04.2020","6,8970","6,9500","6,9820","6,7520","14,80M","0,50%"
"17.04.2020","6,8630","6,8730","7,0600","6,8500","22,86M","2,96%"
"16.04.2020","6,6660","6,7100","6,8890","6,5530","21,99M","0,66%"
"15.04.2020","6,6220","7,0100","7,0400","6,6220","28,14M","-6,73%"
"14.04.2020","7,1000","7,4400","7,4720","7,0040","26,04M","-4,53%"
"09.04.2020","7,4370","7,5010","7,7000","7,3440","19,48M","1,68%"
"08.04.2020","7,3140","7,1800","7,4950","7,1170","17,71M","-0,49%"
"07.04.2020","7,3500","7,4290","7,6850","7,1700","32,10M","3,42%"
"06.04.2020","7,1070","6,7700","7,2000","6,7460","30,29M","8,67%"
"03.04.2020","6,5400","6,7190","6,7390","6,5350","21,86M","-3,53%"
"02.04.2020","6,7790","6,9400","6,9920","6,6100","27,91M","-1,18%"
"01.04.2020","6,8600","6,8700","7,0570","6,8020","23,94M","-4,02%"
"31.03.2020","7,1470","7,3900","7,5300","6,9580","37,47M","-1,75%"
"30.03.2020","7,2740","7,6700","7,7370","7,1210","33,23M","-7,46%"
"27.03.2020","7,8600","8,0710","8,1980","7,6900","24,26M","-5,34%"
"26.03.2020","8,3030","8,1180","8,4460","8,0670","26,60M","-1,54%"
"25.03.2020","8,4330","8,5200","8,9320","7,7840","44,99M","0,81%"
"24.03.2020","8,3650","7,9900","8,3650","7,8560","28,21M","9,99%"
"23.03.2020","7,6050","7,5300","7,8400","7,4100","31,73M","-4,15%"
"20.03.2020","7,9340","7,4840","7,9450","7,4500","41,66M","7,65%"
"19.03.2020","7,3700","7,4880","7,7700","7,0130","38,92M","5,29%"
"18.03.2020","7,0000","6,7520","7,2600","6,7030","28,10M","-0,14%"
"17.03.2020","7,0100","7,1370","7,1400","6,6430","42,18M","3,96%"
"16.03.2020","6,7430","7,1500","7,3090","6,4200","54,13M","-12,58%"
"13.03.2020","7,7130","7,4600","8,6000","7,0880","54,09M","9,16%"
"12.03.2020","7,0660","8,0500","8,2500","7,0020","55,10M","-17,26%"
"11.03.2020","8,5400","8,4600","8,7840","8,2700","31,70M","2,72%"
"10.03.2020","8,3140","8,6500","9,0000","8,2180","43,38M","-3,48%"
"09.03.2020","8,6140","8,6000","8,9230","8,1950","57,26M","-13,44%"
"06.03.2020","9,9520","9,8500","10,0120","9,6890","37,66M","-1,80%"
"05.03.2020","10,1340","10,3900","10,3900","9,8720","37,54M","-1,55%"
"04.03.2020","10,2940","10,5980","10,6860","10,1920","35,22M","-2,54%"
"03.03.2020","10,5620","11,2640","11,3980","10,5060","38,52M","-4,24%"
"02.03.2020","11,0300","11,7300","11,7400","10,7020","45,36M","-4,40%"
"28.02.2020","11,5380","11,6120","11,7560","11,2780","38,29M","-3,87%"
"27.02.2020","12,0020","12,3020","12,3520","11,8400","31,42M","-4,38%"
"26.02.2020","12,5520","12,3700","12,6500","12,2220","23,27M","1,13%"
"25.02.2020","12,4120","12,7840","12,7900","12,3620","21,18M","-1,80%"
"24.02.2020","12,6400","12,6980","12,7740","12,4900","34,71M","-4,13%"
"21.02.2020","13,1840","13,5680","13,5700","12,9800","38,01M","-3,89%"
"20.02.2020","13,7180","14,1020","14,1920","13,5600","20,57M","-2,93%"
"19.02.2020","14,1320","14,1720","14,2200","14,0200","13,31M","0,51%"
"18.02.2020","14,0600","14,1480","14,4420","14,0420","16,27M","-0,64%"
"17.02.2020","14,1500","13,9480","14,1820","13,9440","11,24M","1,90%"
"14.02.2020","13,8860","14,0320","14,0620","13,8220","12,31M","-1,01%"
"13.02.2020","14,0280","14,0000","14,1400","13,8000","20,42M","-0,67%"
"12.02.2020","14,1220","14,2040","14,4300","14,1220","23,36M","-0,37%"
"11.02.2020","14,1740","14,0500","14,2480","13,9060","21,08M","1,50%"
"10.02.2020","13,9640","13,8000","14,0720","13,7900","16,73M","0,42%"
"07.02.2020","13,9060","13,8220","13,9680","13,6560","19,66M","0,20%"
"06.02.2020","13,8780","13,5500","13,9500","13,3660","50,11M","8,15%"
"05.02.2020","12,8320","12,6000","12,9000","12,4720","19,26M","2,00%"
"04.02.2020","12,5800","12,3580","12,6140","12,2920","18,01M","3,06%"
"03.02.2020","12,2060","12,1400","12,2620","12,0820","10,92M","1,03%"
"31.01.2020","12,0820","12,4680","12,4700","12,0200","19,24M","-2,44%"
"30.01.2020","12,3840","12,3720","12,5100","12,2780","12,68M","-2,03%"
"29.01.2020","12,6400","12,7760","12,8340","12,5680","11,92M","-0,02%"
"28.01.2020","12,6420","12,4460","12,7340","12,2400","16,40M","2,48%"
"27.01.2020","12,3360","12,4040","12,6760","12,2680","20,78M","-0,87%"
"24.01.2020","12,4440","12,6480","12,8100","12,3940","14,42M","-0,89%"
"23.01.2020","12,5560","12,5800","12,7580","12,4200","17,16M","-0,11%"
"22.01.2020","12,5700","12,9500","12,9740","12,5040","23,32M","-3,26%"
"21.01.2020","12,9940","12,8260","13,0040","12,6820","14,51M","0,57%"
"20.01.2020","12,9200","13,1200","13,1340","12,8880","11,93M","-1,75%"
"17.01.2020","13,1500","13,2380","13,2820","13,1340","11,13M","0,26%"
"16.01.2020","13,1160","13,1100","13,1960","12,9220","14,49M","0,51%"
"15.01.2020","13,0500","13,3620","13,3900","13,0500","14,34M","-2,60%"
"14.01.2020","13,3980","13,3200","13,4100","13,1800","9,66M","0,81%"
"13.01.2020","13,2900","13,4700","13,4820","13,2040","10,92M","-0,82%"
"10.01.2020","13,4000","13,5480","13,5780","13,3800","11,20M","-0,87%"
"09.01.2020","13,5180","13,5060","13,6200","13,4540","16,41M","1,43%"
"08.01.2020","13,3280","12,9700","13,3700","12,8920","19,36M","1,28%"
"07.01.2020","13,1600","13,1940","13,2900","13,1000","12,36M","0,60%"
"06.01.2020","13,0820","13,1480","13,1780","12,7800","20,13M","-1,85%"
"03.01.2020","13,3280","13,3500","13,3740","13,1640","15,76M","-1,19%"
"02.01.2020","13,4880","13,1000","13,5040","13,0680","18,33M","3,59%"
"30.12.2019","13,0200","13,0920","13,1600","13,0200","9,85M","-0,75%"
"27.12.2019","13,1180","13,3100","13,3440","13,0500","14,97M","-1,66%"
"23.12.2019","13,3400","13,4200","13,4380","13,2800","10,76M","-0,89%"
"20.12.2019","13,4600","13,6500","13,6500","13,4320","30,74M","-0,25%"
"19.12.2019","13,4940","13,2540","13,5040","13,2380","15,91M","1,50%"
"18.12.2019","13,2940","13,2120","13,3500","13,1940","10,74M","0,44%"
"17.12.2019","13,2360","13,3000","13,3140","13,1200","15,59M","-0,63%"
"16.12.2019","13,3200","13,1740","13,3240","13,0520","14,78M","1,79%"
"13.12.2019","13,0860","13,6600","13,6920","13,0640","33,07M","-1,36%"
"12.12.2019","13,2660","12,8940","13,2700","12,8480","26,36M","3,17%"
"11.12.2019","12,8580","12,8080","12,9780","12,7820","13,78M","0,02%"
"10.12.2019","12,8560","12,7300","12,8860","12,6240","14,04M","0,88%"
"09.12.2019","12,7440","12,7760","12,8660","12,6400","14,05M","-0,05%"
"06.12.2019","12,7500","12,4900","12,7740","12,4620","20,05M","2,99%"
"05.12.2019","12,3800","12,5720","12,6500","12,3740","12,80M","-1,34%"
"04.12.2019","12,5480","12,2900","12,5480","12,2340","20,90M","1,92%"
"03.12.2019","12,3120","12,4980","12,5900","12,2580","17,62M","-0,45%"
"02.12.2019","12,3680","12,6120","12,6940","12,3260","17,57M","-1,54%"
"29.11.2019","12,5620","12,5000","12,6660","12,4260","12,61M","0,22%"
"28.11.2019","12,5340","12,6000","12,6560","12,4920","8,86M","-1,00%"
"27.11.2019","12,6600","12,8100","12,8440","12,5600","11,57M","-0,55%"
"26.11.2019","12,7300","12,8580","12,9660","12,7100","17,39M","-0,55%"
"25.11.2019","12,8000","12,7100","12,8000","12,6460","20,83M","2,89%"
"22.11.2019","12,4400","12,5300","12,6520","12,4200","16,59M","-0,24%"
"21.11.2019","12,4700","12,2800","12,5240","12,2280","13,16M","0,87%"
"20.11.2019","12,3620","12,3000","12,4100","12,1820","14,59M","-0,11%"
"19.11.2019","12,3760","12,3800","12,6060","12,3560","17,94M","0,29%"
"18.11.2019","12,3400","12,4640","12,5020","12,1720","14,07M","-0,80%"
"15.11.2019","12,4400","12,5000","12,5160","12,3340","15,73M","0,53%"
"14.11.2019","12,3740","12,4500","12,5300","12,3400","14,07M","-0,82%"
"13.11.2019","12,4760","12,6500","12,6780","12,3640","24,40M","-2,18%"
"12.11.2019","12,7540","12,5500","12,7780","12,5420","21,35M","2,03%"
"11.11.2019","12,5000","12,5120","12,5620","12,4280","16,46M","-0,87%"
"08.11.2019","12,6100","13,0000","13,0000","12,5440","28,91M","-1,53%"
"07.11.2019","12,8060","12,5500","12,9500","12,4500","43,21M","5,96%"
"06.11.2019","12,0860","12,0700","12,3860","11,9880","32,81M","1,04%"
"05.11.2019","11,9620","11,8300","12,0100","11,7520","18,65M","1,65%"
"04.11.2019","11,7680","11,5900","11,8080","11,5860","18,61M","2,12%"
"01.11.2019","11,5240","11,3620","11,5520","11,3160","12,62M","1,37%"
"31.10.2019","11,3680","11,5020","11,5200","11,2260","14,32M","-1,01%"
"30.10.2019","11,4840","11,7300","11,7600","11,2860","20,52M","-1,88%"
"29.10.2019","11,7040","11,6220","11,7360","11,5760","15,08M","1,05%"
"28.10.2019","11,5820","11,4700","11,6240","11,4280","10,64M","0,42%"
"25.10.2019","11,5340","11,6000","11,6220","11,4120","10,70M","-0,62%"
