Stato;Popolazione;Religione;Pil pro capite;Regione;Calorie;AIDS x 100000 ab
Botswana;1,359;Tribale;2,677;Africa;2,375;1,415
Burkina Faso;10,000;Animista;357;Africa;2,288;4,193
Burundi;6,000;Cattol.;208;Africa;1,932;7,225
Camerun;13,100;Animista;993;Africa;2,217;3,072
Etiopia;55,200;Musulm.;122;Africa;1,667;12,958
Gabon;1,300;Cattol.;4,283;Africa;2,383;472
Gambia;959;Musulm.;351;Africa;;277
Kenya;28,200;Cattol.;323;Africa;2,163;30,126
Liberia;2,900;Animista;409;Africa;2,382;191
Morocco;28,600;Musulm.;1,062;Africa;;196
Nigeria;98,100;Musulm.;282;Africa;2,312;1,148
Rep.C.Afric.;3,300;Protest.;457;Africa;2,036;3,730
Rwanda;8,400;Cattol.;292;Africa;1,971;10,706
Senegal;8,700;Musulm.;744;Africa;2,369;911
Somalia;6,667;Musulm.;2,126;Africa;1,906;13
Sudafrica;43,900;;3,128;Africa;;3,210
Tanzania;29,800;Animista;263;Africa;2,206;38,719
Uganda;19,800;Cattol.;325;Africa;2,153;43,875
Zambia;9,100;Protest.;573;Africa;2,077;29,734
Argentina;33,900;Cattol.;3,408;America latina;3,113;3,904
Barbados;256;Protest.;6,950;America latina;;418
Bolivia;7,900;Cattol.;730;America latina;1,916;87
Brasile;156,600;Cattol.;2,354;America latina;2,751;49,312
Cile;14,000;Cattol.;2,591;America latina;2,581;831
Colombia;35,600;Cattol.;1,538;America latina;2,598;4,583
Costa Rica;3,300;Cattol.;2,031;America latina;2,808;587
Cuba;11,100;Cattol.;1,382;America latina;;245
Ecuador;10,700;Cattol.;1,085;America latina;2,531;381
El Salvador;5,800;Cattol.;1,078;America latina;2,317;530
Guatemala;10,300;Cattol.;1,342;America latina;2,235;499
Haiti;6,500;Cattol.;383;America latina;2,013;4,987
Honduras;5,600;Cattol.;1,030;America latina;2,247;3,473
Messico;91,800;Cattol.;3,604;America latina;3,052;18,353
Nicaragua;4,100;Cattol.;447;America latina;2,265;66
Panama;2,600;Cattol.;2,397;America latina;2,539;644
Paraguay;5,200;Cattol.;1,500;America latina;2,757;77
Peru;23,650;Cattol.;1,107;America latina;2,186;1,068
Rep.Dominic.;7,800;Cattol.;1,034;America latina;2,359;2,353
Uruguay;3,200;Cattol.;3,131;America latina;2,653;469
Venezuela;20,600;Cattol.;2,829;America latina;2,582;3,511
Afghanistan;20,500;Musulm.;205;Asia / Pacifico;;0
Bangladesh;125,000;Musulm.;202;Asia / Pacifico;2,021;1
Cambogia;10,000;Buddista;260;Asia / Pacifico;2,166;0
Cina;1,205,200;Taoista;377;Asia / Pacifico;2,639;38
Corea Nord;23,100;Buddista;1,000;Asia / Pacifico;;0
